Id,Label,timeset,modularity_class,pageranks,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
blu3luv,blu3luv,,0,0.000039,439,0,0,0,0,0,0
relyam,relyam,,1,0.000068,3,0,1,1,0,1,1
inuta03,inuta03,,0,0.000039,579,0,0,0,0,0,0
DipPatel1,DipPatel1,,0,0.000039,848,0,0,0,0,0,0
phonecoop,phonecoop,,0,0.000105,848,0,0,0,0,0,0
thissunsetlover,thissunsetlover,,4,0.000068,3,0,1,1,0,1,1
ROCKONOHIO,ROCKONOHIO,,7,0.000068,3,0,1,1,0,2,2
edgmsx,edgmsx,,1,0.000068,3,0,1,1,0,1,1
ShaniaCollier,ShaniaCollier,,7,0.000068,3,0,1,1,0,1,1
azatampswfc,azatampswfc,,3,0.000068,3,0,1,1,0,1,1
kit_115,kit_115,,0,0.000068,3,0,1,1,0,1,1
