Id,Label,timeset,componentnumber,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
m_nogs,m_nogs,,0,2,0.000295,8,0,8,8,0,8
lilacffsilvate,lilacffsilvate,,0,1,0.000146,0,1,1,0,1,1
eumarcellie,eumarcellie,,0,2,0.000146,0,2,2,0,2,2
loveandliveme,loveandliveme,,0,0,0.000146,0,2,2,0,2,2
maudorias,maudorias,,9,0,0,0,0,0,0,0,0
raquelrealofc,raquelrealofc,,9,0,0,0,0,0,0,0,0
MarcusLBarsano,MarcusLBarsano,,0,2,0.000146,0,1,1,0,1,1
jessicx_aaaa,jessicx_aaaa,,0,2,0.000146,0,1,1,0,1,1
DALTROINFO,DALTROINFO,,0,2,0.000146,1,8,9,2,9,11
Belleblue52C,Belleblue52C,,0,2,0.000162,1,0,1,1,0,1
Tayrosun7,Tayrosun7,,0,2,0.000162,1,0,1,1,0,1
phillipmarcuss,phillipmarcuss,,0,2,0.000162,1,0,1,1,0,1
AntonioCLopes8,AntonioCLopes8,,0,2,0.000169,2,4,6,2,4,6
_Jhowie_,_Jhowie_,,0,2,0.000162,1,0,1,1,0,1
Ismael_outl,Ismael_outl,,0,2,0.000146,0,1,1,0,1,1
brnandes1994,brnandes1994,,0,2,0.000146,0,1,1,0,1,1
solano_braver,solano_braver,,0,2,0.000146,0,1,1,0,1,1
BbSrtabueno,BbSrtabueno,,0,2,0.000287,3,0,3,3,0,3
chocohyuckie,chocohyuckie,,0,2,0.000146,0,1,1,0,1,1
asociacionjpmm1,asociacionjpmm1,,10,0,0,0,0,0,0,0,0
policiademadrid,policiademadrid,,10,0,0,0,0,0,0,0,0
edyrjr,edyrjr,,11,0,0,0,0,0,0,0,0
jlmarques_,jlmarques_,,11,0,0,0,0,0,0,0,0
cinamogirl,cinamogirl,,0,2,0.000146,0,1,1,0,1,1
letterskahei,letterskahei,,0,2,0.000146,0,1,1,0,1,1
Bolinhodokpop1,Bolinhodokpop1,,0,2,0.000146,0,1,1,0,1,1
mesarcastic_,mesarcastic_,,0,0,0.000146,0,1,1,0,1,1
soulmatedubu,soulmatedubu,,0,2,0.000146,0,2,2,0,2,2
millslulu,millslulu,,0,2,0.000146,0,4,4,0,4,4
MenozziFelipe,MenozziFelipe,,0,2,0.000177,1,0,1,1,0,1
marinammflores,marinammflores,,0,2,0.000177,1,0,1,1,0,1
gmfritsch,gmfritsch,,0,2,0.000146,0,1,1,0,1,1
luavss,luavss,,0,0,0.000146,0,1,1,0,1,1
genkaii,genkaii,,0,0,0.000146,0,1,1,0,1,1
Debbs_02,Debbs_02,,0,0,0.000146,0,1,1,0,1,1
vitoria06062002,vitoria06062002,,0,2,0.000146,0,11,11,0,11,11
edskuer,edskuer,,0,2,0.002318,38,0,38,38,0,38
Witanymirilson2,Witanymirilson2,,0,0,0.000146,0,1,1,0,1,1
orcadeon,orcadeon,,0,2,0.000146,0,1,1,0,1,1
_HellenMaia,_HellenMaia,,0,2,0.000146,0,1,1,0,1,1
frandonblowers,frandonblowers,,0,2,0.000146,0,1,1,0,1,1
dinah_izis,dinah_izis,,0,2,0.000146,0,1,1,0,1,1
9Mikrokosmos,9Mikrokosmos,,0,2,0.000146,0,1,1,0,1,1
h_hdf,h_hdf,,0,2,0.000146,0,1,1,0,1,1
